year,corp,partido,votos,curules,ideologia
2022,Camara,A.V.,1093836,11,Centro
2022,Camara,Afrodescendientes,0,1,Centro
2022,Camara,Alternativos,60527,1,Izquierda
2022,Camara,CCE,445549,5,Centro
2022,Camara,CITREP,0,16,Centro
2022,Camara,CJL y MIRA,288617,2,Derecha
2022,Camara,Cambio Radical,1404141,17,Derecha
2022,Camara,Centro Democratico,1928251,18,Derecha
2022,Camara,Colombia Renaciente,62490,1,Centro
2022,Camara,Comunes Cam,21423,5,Izquierda
2022,Camara,Curul Segunda Formula Vicepresidencial,0,1,Centro
2022,Camara,Exterior,0,1,Centro
2022,Camara,Fuerza Ciudadana,71175,1,Derecha
2022,Camara,Indigenas Cam,0,1,Izquierda
2022,Camara,LIGA,172342,1,Derecha
2022,Camara,Nuevo Liberalismo,282271,2,Centro
2022,Camara,Pacto Historico,3071627,29,Izquierda
2022,Camara,Partido Conservador,2179573,26,Derecha
2022,Camara,Partido Liberal,2403894,33,Centro
2022,Camara,Partido de la U,1439579,15,Centro
2022,Camara,Poblacion Raizal,0,1,Centro
2022,Senado,A.V. y Centro Esperanza,1958369,13,Centro
2022,Senado,CJL y MIRA,584806,4,Derecha
2022,Senado,Cambio Radical,1609173,11,Derecha
2022,Senado,Centro Democratico,1949905,13,Derecha
2022,Senado,Comunes Sen,25708,5,Izquierda
2022,Senado,Curul Segunda Formula Vicepresidencial,0,1,Centro
2022,Senado,Indigenas Sen,0,2,Izquierda
2022,Senado,Pacto Historico,2880254,20,Izquierda
2022,Senado,Partido Conservador,2238678,15,Derecha
2022,Senado,Partido Liberal,2112528,14,Centro
2022,Senado,Partido de la U,1506567,10,Centro
2026,Camara,A.V.,902056,8,Centro
2026,Camara,ASI,65696,2,Izquierda
2026,Camara,Afrodescendientes,0,1,Centro
2026,Camara,Ahora Colombia,269226,1,Derecha
2026,Camara,CITREP,0,16,Centro
2026,Camara,Cambio Radical,1049566,12,Derecha
2026,Camara,Centro Democratico,3397874,32,Derecha
2026,Camara,Creemos,285354,2,Derecha
2026,Camara,Curul Segunda Formula Vicepresidencial,0,1,Centro
2026,Camara,Exterior,0,1,Centro
2026,Camara,Fuerza Cauca,61138,1,Derecha
2026,Camara,Indigenas Cam,0,1,Izquierda
2026,Camara,La Fuerza,139936,1,Derecha
2026,Camara,Pacto Historico,4209469,40,Izquierda
2026,Camara,Partido Conservador,2040126,19,Derecha
2026,Camara,Partido Liberal,2255763,27,Centro
2026,Camara,Partido de la U,1047542,12,Centro
2026,Camara,Partido democrata,106849,1,Derecha
2026,Camara,Poblacion Raizal,0,1,Centro
2026,Camara,Salvacion Nacional,472528,2,Derecha
2026,Senado,A.V.,1904154,10,Centro
2026,Senado,Ahora Colombia,900606,5,Derecha
2026,Senado,Cambio Radical,1248021,7,Derecha
2026,Senado,Centro Democratico,3035715,17,Derecha
2026,Senado,Estatuto Oposicion Sen,0,1,Derecha
2026,Senado,Indigenas Sen,0,2,Izquierda
2026,Senado,Pacto Historico,4413636,25,Izquierda
2026,Senado,Partido Conservador,1863663,10,Derecha
2026,Senado,Partido Liberal,2275182,13,Centro
2026,Senado,Partido de la U,1565786,9,Centro
2026,Senado,Salvacion Nacional,705924,4,Derecha
2026,Camara,Comunes Cam,0,2,Izquierda
